,video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description,country
173,H8IWLEtFt9A,17.14.11,Intégrale - On n'est pas couché 11 novembre 2017 #ONPC,On n'est pas couché,24,2017-11-12T01:44:07.000Z,"onpc|""on n'est pas couche""|""laurent ruquier""|""yann moix""|""christine angot""|""11 novembre 2017""|""mc solaar""|""alexandra lamy""|""nathalie michak""|""jeremy ferrari""|""galia""|""vikash dhorasoo""",122282,0,0,0,https://i.ytimg.com/vi/H8IWLEtFt9A/default.jpg,True,True,False,Intégrale - On n'est pas couché 11 novembre 2017 #ONPC\n\nOn n'est pas couché \n11 novembre 2017\nLaurent Ruquier avec Christine Angot & Yann Moix \nFrance 2 #ONPC\n\nToutes les informations sur les invités et leur actualité https://www.france.tv/france-2/on-n-est-pas-couche/\n\nSuivez @ONPCofficiel et réagissez en direct avec le hashtag #ONPC \nhttps://twitter.com/ONPCofficiel\n\nContinuez le débat sur Facebook https://www.facebook.com/onpcF2,CA
1069,om-_yJaSW_Y,17.19.11,GET READY WITH US  Feat: JACLYN HILL & MANNY MUA,Laura Lee,26,2017-11-18T19:24:49.000Z,"Laura88Lee|""grwm""|""chit chat get ready with me""|""getting ready""|""chit chat grwm""|""get ready""|""jaclyn hill""|""everyday makeup""|""chit chat""|""manny mua""|""get ready with me 2017""|""natural makeup""|""kim kardashian west""|""kkw beauty""|""jaclynhill1""|""get ready with us""|""get ready with me night out""|""chatty get ready with me""|""get ready with me fall editon""|""foundation""|""hair tutorial""|""kim kardashian""|""tutorial""|""transformation""|""makeup""|""how to""|""beauty""|""fall get ready with me""|""personal life""|""beauty guru""|""emotional""",523258,0,0,0,https://i.ytimg.com/vi/om-_yJaSW_Y/default.jpg,True,True,False,"Hey Larlees, todays video is a get ready with me ft: Jaclyn hill and Manny mua. We had so much fun filming this video got you guys and hope you enjoy the content! xo Laura\n\nManny MUA video: https://www.youtube.com/watch?v=wnZzYs6ByE4\nJaclyn's video coming: 11-19-17\n\nMY MERCH: BUY HERE: https://www.lauraleelosangeles.com/ \n\n\n\n\n\n\n\n\n\n\n*** D I S C O U N T  - C O D E S ***\n___\n\nmy vanity: http://bit.ly/29z6ZNx\nuse code LAURALEE for $$ off!!\n\nMorphe Brushes USE CODE LauraLee for 10% off!\nhttp://morphebrushes.com\n\n\nJouer cosmetics - code: LAURALEE for 15% off! \nhttps://www.jouercosmetics.com\n\nOfra Cosmetics use code LAURALEE for 30% off!! http://bit.ly/2bm3dGb\n\n\nArtis Couture code: LAURALEE for 15% off! http://www.artistcouture.com/\n\n\nshop VIOLET VOSS code: LAURALEE for 10% off!\nhttp://bit.ly/2nrLMIM\n\n\n\nSOCIAL MEDIA:\nINSTAGRAM:  Larlarlee\nSNAPCHAT: Laura88lee\nFACEBOOK: Laura Lee\nTWITTER: LAURA88LEE\nmusical.ly - Laura88lee\n\n\n***My Camera Equipment***\nNew Camera: http://amzn.to/2iKeRMH\nOld Camera (great for starters)- http://amzn.to/2t2X88c\nCamera Lens - http://amzn.to/2t3i66H\nLights - http://amzn.to/2u1mxmN\n\n♡For any business inquiries please email me at: laura88lee@gmail.com\n\n\n\nMusic: \n\n\n\nFTC- NOT SPONSORED!",CA
1278,om-_yJaSW_Y,17.20.11,GET READY WITH US  Feat: JACLYN HILL & MANNY MUA,Laura Lee,26,2017-11-18T19:24:49.000Z,"Laura88Lee|""grwm""|""chit chat get ready with me""|""getting ready""|""chit chat grwm""|""get ready""|""jaclyn hill""|""everyday makeup""|""chit chat""|""manny mua""|""get ready with me 2017""|""natural makeup""|""kim kardashian west""|""kkw beauty""|""jaclynhill1""|""get ready with us""|""get ready with me night out""|""chatty get ready with me""|""get ready with me fall editon""|""foundation""|""hair tutorial""|""kim kardashian""|""tutorial""|""transformation""|""makeup""|""how to""|""beauty""|""fall get ready with me""|""personal life""|""beauty guru""|""emotional""",1004809,0,0,0,https://i.ytimg.com/vi/om-_yJaSW_Y/default.jpg,True,True,False,"Hey Larlees, todays video is a get ready with me ft: Jaclyn hill and Manny mua. We had so much fun filming this video got you guys and hope you enjoy the content! xo Laura\n\nManny MUA video: https://www.youtube.com/watch?v=wnZzYs6ByE4\nJaclyn's video coming: https://www.youtube.com/watch?v=P7FJPmZCCpk\n\nMY MERCH: BUY HERE: https://www.lauraleelosangeles.com/ \n\n\n\n\n\n\n\n\n\n\n*** D I S C O U N T  - C O D E S ***\n___\n\nmy vanity: http://bit.ly/29z6ZNx\nuse code LAURALEE for $$ off!!\n\nMorphe Brushes USE CODE LauraLee for 10% off!\nhttp://morphebrushes.com\n\n\nJouer cosmetics - code: LAURALEE for 15% off! \nhttps://www.jouercosmetics.com\n\nOfra Cosmetics use code LAURALEE for 30% off!! http://bit.ly/2bm3dGb\n\n\nArtis Couture code: LAURALEE for 15% off! http://www.artistcouture.com/\n\n\nshop VIOLET VOSS code: LAURALEE for 10% off!\nhttp://bit.ly/2nrLMIM\n\n\n\nSOCIAL MEDIA:\nINSTAGRAM:  Larlarlee\nSNAPCHAT: Laura88lee\nFACEBOOK: Laura Lee\nTWITTER: LAURA88LEE\nmusical.ly - Laura88lee\n\n\n***My Camera Equipment***\nNew Camera: http://amzn.to/2iKeRMH\nOld Camera (great for starters)- http://amzn.to/2t2X88c\nCamera Lens - http://amzn.to/2t3i66H\nLights - http://amzn.to/2u1mxmN\n\n♡For any business inquiries please email me at: laura88lee@gmail.com\n\n\n\nMusic: \n\n\n\nFTC- NOT SPONSORED!",CA
1320,faJOpxEyTWk,17.20.11,Intégrale - On n'est pas couché 18 novembre 2017 #ONPC,On n'est pas couché,24,2017-11-19T02:01:15.000Z,"onpc|""on n'est pas couche""|""laurent ruquier""|""yann moix""|""christine angot""|""18 novembre 2017""|""carla bruni""|""yvan attal""|""camelia jordana""|""aymeric caron""|""charlotte de turckheim""|""tim dup""",87544,0,0,0,https://i.ytimg.com/vi/faJOpxEyTWk/default.jpg,True,True,False,Intégrale - On n'est pas couché 18 novembre 2017 #ONPC\n\nOn n'est pas couché \n18 novembre 2017\nLaurent Ruquier avec Christine Angot & Yann Moix \nFrance 2 #ONPC\n\nToutes les informations sur les invités et leur actualité https://www.france.tv/france-2/on-n-est-pas-couche/\n\nSuivez @ONPCofficiel et réagissez en direct avec le hashtag #ONPC \nhttps://twitter.com/ONPCofficiel\n\nContinuez le débat sur Facebook https://www.facebook.com/onpcF2,CA
1573,om-_yJaSW_Y,17.21.11,GET READY WITH US  Feat: JACLYN HILL & MANNY MUA,Laura Lee,26,2017-11-18T19:24:49.000Z,"Laura88Lee|""grwm""|""chit chat get ready with me""|""getting ready""|""chit chat grwm""|""get ready""|""jaclyn hill""|""everyday makeup""|""chit chat""|""manny mua""|""get ready with me 2017""|""natural makeup""|""kim kardashian west""|""kkw beauty""|""jaclynhill1""|""get ready with us""|""get ready with me night out""|""chatty get ready with me""|""get ready with me fall editon""|""foundation""|""hair tutorial""|""kim kardashian""|""tutorial""|""transformation""|""makeup""|""how to""|""beauty""|""fall get ready with me""|""personal life""|""beauty guru""|""emotional""",1197269,0,0,0,https://i.ytimg.com/vi/om-_yJaSW_Y/default.jpg,True,True,False,"Hey Larlees, todays video is a get ready with me ft: Jaclyn hill and Manny mua. We had so much fun filming this video got you guys and hope you enjoy the content! xo Laura\n\nManny MUA video: https://www.youtube.com/watch?v=wnZzYs6ByE4\nJaclyn's video coming: https://www.youtube.com/watch?v=P7FJPmZCCpk\n\nMY MERCH: BUY HERE: https://www.lauraleelosangeles.com/ \n\n\n\n\n\n\n\n\n\n\n*** D I S C O U N T  - C O D E S ***\n___\n\nmy vanity: http://bit.ly/29z6ZNx\nuse code LAURALEE for $$ off!!\n\nMorphe Brushes USE CODE LauraLee for 10% off!\nhttp://morphebrushes.com\n\n\nJouer cosmetics - code: LAURALEE for 15% off! \nhttps://www.jouercosmetics.com\n\nOfra Cosmetics use code LAURALEE for 30% off!! http://bit.ly/2bm3dGb\n\n\nArtis Couture code: LAURALEE for 15% off! http://www.artistcouture.com/\n\n\nshop VIOLET VOSS code: LAURALEE for 10% off!\nhttp://bit.ly/2nrLMIM\n\n\n\nSOCIAL MEDIA:\nINSTAGRAM:  Larlarlee\nSNAPCHAT: Laura88lee\nFACEBOOK: Laura Lee\nTWITTER: LAURA88LEE\nmusical.ly - Laura88lee\n\n\n***My Camera Equipment***\nNew Camera: http://amzn.to/2iKeRMH\nOld Camera (great for starters)- http://amzn.to/2t2X88c\nCamera Lens - http://amzn.to/2t3i66H\nLights - http://amzn.to/2u1mxmN\n\n♡For any business inquiries please email me at: laura88lee@gmail.com\n\n\n\nMusic: \n\n\n\nFTC- NOT SPONSORED!",CA
1577,faJOpxEyTWk,17.21.11,Intégrale - On n'est pas couché 18 novembre 2017 #ONPC,On n'est pas couché,24,2017-11-19T02:01:15.000Z,"onpc|""on n'est pas couche""|""laurent ruquier""|""yann moix""|""christine angot""|""18 novembre 2017""|""carla bruni""|""yvan attal""|""camelia jordana""|""aymeric caron""|""charlotte de turckheim""|""tim dup""",118969,0,0,0,https://i.ytimg.com/vi/faJOpxEyTWk/default.jpg,True,True,False,Intégrale - On n'est pas couché 18 novembre 2017 #ONPC\n\nOn n'est pas couché \n18 novembre 2017\nLaurent Ruquier avec Christine Angot & Yann Moix \nFrance 2 #ONPC\n\nToutes les informations sur les invités et leur actualité https://www.france.tv/france-2/on-n-est-pas-couche/\n\nSuivez @ONPCofficiel et réagissez en direct avec le hashtag #ONPC \nhttps://twitter.com/ONPCofficiel\n\nContinuez le débat sur Facebook https://www.facebook.com/onpcF2,CA
3224,nx1R-eHSkfM,17.30.11,The New Snapchat in 60 Seconds,Snapchat,10,2017-11-29T14:00:03.000Z,"new snapchat|""version 2""|""snap inc""|""brandnew""|""update""|""software""|""snap""|""new update""|""redesign""|""reorganize""|""Snapchat""",867588,0,0,0,https://i.ytimg.com/vi/nx1R-eHSkfM/default.jpg,True,True,False,"Evan Spiegel, co-founder and CEO, explains the new Snapchat update! Coming soon. Learn more at https://www.snap.com/en-US/news/post/introducing-the-new-snapchat/",CA
3403,nx1R-eHSkfM,17.01.12,The New Snapchat in 60 Seconds,Snapchat,10,2017-11-29T14:00:03.000Z,"new snapchat|""version 2""|""snap inc""|""brandnew""|""update""|""software""|""snap""|""new update""|""redesign""|""reorganize""|""Snapchat""",1894753,0,0,0,https://i.ytimg.com/vi/nx1R-eHSkfM/default.jpg,True,True,False,"Evan Spiegel, co-founder and CEO, explains the new Snapchat update! Coming soon. Learn more at https://www.snap.com/en-US/news/post/introducing-the-new-snapchat/",CA
3603,nx1R-eHSkfM,17.02.12,The New Snapchat in 60 Seconds,Snapchat,10,2017-11-29T14:00:03.000Z,"new snapchat|""version 2""|""snap inc""|""brandnew""|""update""|""software""|""snap""|""new update""|""redesign""|""reorganize""|""Snapchat""",2564482,0,0,0,https://i.ytimg.com/vi/nx1R-eHSkfM/default.jpg,True,True,False,"Evan Spiegel, co-founder and CEO, explains the new Snapchat update! Coming soon. Learn more at https://www.snap.com/en-US/news/post/introducing-the-new-snapchat/",CA
3811,nx1R-eHSkfM,17.03.12,The New Snapchat in 60 Seconds,Snapchat,10,2017-11-29T14:00:03.000Z,"new snapchat|""version 2""|""snap inc""|""brandnew""|""update""|""software""|""snap""|""new update""|""redesign""|""reorganize""|""Snapchat""",2944563,0,0,0,https://i.ytimg.com/vi/nx1R-eHSkfM/default.jpg,True,True,False,"Evan Spiegel, co-founder and CEO, explains the new Snapchat update! Coming soon. Learn more at https://www.snap.com/en-US/news/post/introducing-the-new-snapchat/",CA
